file,strategy,current_state,exit_code,total_states,time_seconds
../LTL-Synth/amba_decomposed_tsingle.tlsf,hybrid,4,0,4,1.1043601036071777
../LTL-Synth/Automata.tlsf,linear,1,0,9,9.448415040969849
../LTL-Synth/Automata.tlsf,linear,2,0,9,9.510478973388672
../LTL-Synth/Automata.tlsf,linear,3,0,9,9.734426021575928
../LTL-Synth/Automata.tlsf,linear,4,0,9,10.17516303062439
../LTL-Synth/Automata.tlsf,linear,5,0,9,10.838090896606445
../LTL-Synth/Automata.tlsf,linear,6,0,9,11.803973913192749
../LTL-Synth/Automata.tlsf,linear,7,0,9,13.084832906723022
../LTL-Synth/Automata.tlsf,linear,8,0,9,14.773422956466675
../LTL-Synth/Automata.tlsf,linear,9,0,9,16.975668907165527
../LTL-Synth/Automata.tlsf,expo,1,0,16,9.384762048721313
../LTL-Synth/Automata.tlsf,expo,2,0,16,9.44400405883789
../LTL-Synth/Automata.tlsf,expo,4,0,16,9.662870168685913
../LTL-Synth/Automata.tlsf,expo,8,0,16,10.336247205734253
../LTL-Synth/Automata.tlsf,expo,16,0,16,12.56499719619751
../LTL-Synth/Automata.tlsf,hybrid,1,0,9,9.405411958694458
../LTL-Synth/Automata.tlsf,hybrid,2,0,9,9.469403982162476
../LTL-Synth/Automata.tlsf,hybrid,4,0,9,9.69501805305481
../LTL-Synth/Automata.tlsf,hybrid,8,0,9,10.367295980453491
../LTL-Synth/Automata.tlsf,hybrid,16,0,9,12.55635404586792
../LTL-Synth/Automata.tlsf,hybrid,12,0,9,20.328938961029053
../LTL-Synth/Automata.tlsf,hybrid,10,0,9,24.636346101760864
../LTL-Synth/Automata.tlsf,hybrid,9,0,9,27.800502061843872
../LTL-Synth/button.tlsf,linear,1,0,1,0.5857980251312256
../LTL-Synth/button.tlsf,expo,1,0,1,0.6095778942108154
../LTL-Synth/button.tlsf,hybrid,1,0,1,0.6408720016479492
../LTL-Synth/button.tlsf,hybrid,1,0,1,0.6458961963653564
../LTL-Synth/collector_v1_2.tlsf,linear,1,0,3,0.6219708919525146
../LTL-Synth/collector_v1_2.tlsf,linear,2,0,3,0.6334459781646729
../LTL-Synth/collector_v1_2.tlsf,linear,3,0,3,0.6726398468017578
../LTL-Synth/collector_v1_2.tlsf,expo,1,0,4,0.6116039752960205
../LTL-Synth/collector_v1_2.tlsf,expo,2,0,4,0.6205830574035645
../LTL-Synth/collector_v1_2.tlsf,expo,4,0,4,0.6593611240386963
../LTL-Synth/collector_v1_2.tlsf,hybrid,1,0,3,0.6216387748718262
../LTL-Synth/collector_v1_2.tlsf,hybrid,2,0,3,0.6316359043121338
../LTL-Synth/collector_v1_2.tlsf,hybrid,4,0,3,0.6710708141326904
../LTL-Synth/collector_v1_2.tlsf,hybrid,3,0,3,0.7702548503875732
../LTL-Synth/collector_v1_3.tlsf,linear,1,0,7,0.6126420497894287
../LTL-Synth/collector_v1_3.tlsf,linear,2,0,7,0.6598122119903564
../LTL-Synth/collector_v1_3.tlsf,linear,3,0,7,0.7186160087585449
../LTL-Synth/collector_v1_3.tlsf,linear,4,0,7,0.844027042388916
../LTL-Synth/collector_v1_3.tlsf,linear,5,0,7,1.0944302082061768
../LTL-Synth/collector_v1_3.tlsf,linear,6,0,7,1.5290501117706299
../LTL-Synth/collector_v1_3.tlsf,linear,7,0,7,2.387113094329834
../LTL-Synth/collector_v1_3.tlsf,expo,1,0,8,0.607109785079956
../LTL-Synth/collector_v1_3.tlsf,expo,2,0,8,0.6542627811431885
../LTL-Synth/collector_v1_3.tlsf,expo,4,0,8,0.711467981338501
../LTL-Synth/collector_v1_3.tlsf,expo,8,0,8,0.9497628211975098
../LTL-Synth/collector_v1_3.tlsf,hybrid,1,0,7,0.6259739398956299
../LTL-Synth/collector_v1_3.tlsf,hybrid,2,0,7,0.6772189140319824
../LTL-Synth/collector_v1_3.tlsf,hybrid,4,0,7,0.7368819713592529
../LTL-Synth/collector_v1_3.tlsf,hybrid,8,0,7,0.9713499546051025
../LTL-Synth/collector_v1_3.tlsf,hybrid,6,0,7,2.279601812362671
../LTL-Synth/collector_v1_3.tlsf,hybrid,7,0,7,3.0627658367156982
../LTL-Synth/collector_v2_2.tlsf,linear,1,0,2,0.6328930854797363
../LTL-Synth/collector_v2_2.tlsf,linear,2,0,2,0.6626241207122803
../LTL-Synth/collector_v2_2.tlsf,expo,1,0,2,0.6671390533447266
../LTL-Synth/collector_v2_2.tlsf,expo,2,0,2,0.6901400089263916
../LTL-Synth/collector_v2_2.tlsf,hybrid,1,0,2,0.6303901672363281
../LTL-Synth/collector_v2_2.tlsf,hybrid,2,0,2,0.652644157409668
../LTL-Synth/collector_v2_2.tlsf,hybrid,2,0,2,0.7480340003967285
../LTL-Synth/collector_v2_3.tlsf,linear,1,0,3,0.626162052154541
../LTL-Synth/collector_v2_3.tlsf,linear,2,0,3,0.6738100051879883
../LTL-Synth/collector_v2_3.tlsf,linear,3,0,3,0.744549036026001
../LTL-Synth/collector_v2_3.tlsf,expo,1,0,4,0.6633579730987549
../LTL-Synth/collector_v2_3.tlsf,expo,2,0,4,0.711522102355957
../LTL-Synth/collector_v2_3.tlsf,expo,4,0,4,0.7811789512634277
../LTL-Synth/collector_v2_3.tlsf,hybrid,1,0,3,0.6764199733734131
../LTL-Synth/collector_v2_3.tlsf,hybrid,2,0,3,0.7233760356903076
../LTL-Synth/collector_v2_3.tlsf,hybrid,4,0,3,0.7896909713745117
../LTL-Synth/collector_v2_3.tlsf,hybrid,3,0,3,1.0413949489593506
../LTL-Synth/collector_v2_4.tlsf,linear,1,0,4,0.7356820106506348
../LTL-Synth/collector_v2_4.tlsf,linear,2,0,4,0.8127892017364502
../LTL-Synth/collector_v2_4.tlsf,linear,3,0,4,0.8946051597595215
../LTL-Synth/collector_v2_4.tlsf,linear,4,0,4,1.0842831134796143
../LTL-Synth/collector_v2_4.tlsf,expo,1,0,4,0.7354791164398193
../LTL-Synth/collector_v2_4.tlsf,expo,2,0,4,0.811568021774292
../LTL-Synth/collector_v2_4.tlsf,expo,4,0,4,0.8955349922180176
../LTL-Synth/collector_v2_4.tlsf,hybrid,1,0,4,0.7530510425567627
../LTL-Synth/collector_v2_4.tlsf,hybrid,2,0,4,0.8333020210266113
../LTL-Synth/collector_v2_4.tlsf,hybrid,4,0,4,0.9181890487670898
../LTL-Synth/collector_v2_4.tlsf,hybrid,3,0,4,1.2757339477539062
../LTL-Synth/collector_v2_4.tlsf,hybrid,4,0,4,1.4655001163482666
../LTL-Synth/collector_v2_7.tlsf,linear,1,0,7,22.36390209197998
../LTL-Synth/collector_v2_7.tlsf,linear,2,0,7,22.415632009506226
../LTL-Synth/collector_v2_7.tlsf,linear,3,0,7,22.674578189849854
../LTL-Synth/collector_v2_7.tlsf,linear,4,0,7,23.099009037017822
../LTL-Synth/collector_v2_7.tlsf,linear,5,0,7,23.875441074371338
../LTL-Synth/collector_v2_7.tlsf,linear,6,0,7,29.598304986953735
../LTL-Synth/collector_v2_7.tlsf,linear,7,0,7,360.4137201309204
../LTL-Synth/collector_v2_7.tlsf,expo,1,0,8,22.5190851688385
../LTL-Synth/collector_v2_7.tlsf,expo,2,0,8,22.566946029663086
../LTL-Synth/collector_v2_7.tlsf,expo,4,0,8,22.82384705543518
../LTL-Synth/collector_v2_7.tlsf,expo,8,0,8,23.612903118133545
../LTL-Synth/collector_v2_7.tlsf,hybrid,1,0,7,22.56155300140381
../LTL-Synth/collector_v2_7.tlsf,hybrid,2,0,7,22.610532999038696
../LTL-Synth/collector_v2_7.tlsf,hybrid,4,0,7,22.86055588722229
../LTL-Synth/collector_v2_7.tlsf,hybrid,8,0,7,23.650108814239502
../LTL-Synth/collector_v2_7.tlsf,hybrid,6,0,7,27.210901975631714
../LTL-Synth/collector_v2_7.tlsf,hybrid,7,0,7,460.03525495529175
../LTL-Synth/collector_v3_2.tlsf,linear,1,0,1,0.6330220699310303
../LTL-Synth/collector_v3_2.tlsf,expo,1,0,1,0.6146941184997559
../LTL-Synth/collector_v3_2.tlsf,hybrid,1,0,1,0.6280930042266846
../LTL-Synth/collector_v3_2.tlsf,hybrid,1,0,1,0.6358191967010498
../LTL-Synth/collector_v3_3.tlsf,linear,1,0,1,0.62825608253479
../LTL-Synth/collector_v3_3.tlsf,expo,1,0,1,0.6435880661010742
../LTL-Synth/collector_v3_3.tlsf,hybrid,1,0,1,0.6457087993621826
../LTL-Synth/collector_v3_3.tlsf,hybrid,1,0,1,0.6545448303222656
../LTL-Synth/collector_v3_4.tlsf,linear,1,0,1,0.7183890342712402
../LTL-Synth/collector_v3_4.tlsf,expo,1,0,1,0.735788106918335
../LTL-Synth/collector_v3_4.tlsf,hybrid,1,0,1,0.7434849739074707
../LTL-Synth/collector_v3_4.tlsf,hybrid,1,0,1,0.751446008682251
../LTL-Synth/collector_v3_5.tlsf,linear,1,0,1,1.4916579723358154
../LTL-Synth/collector_v3_5.tlsf,expo,1,0,1,1.4808740615844727
../LTL-Synth/collector_v3_5.tlsf,hybrid,1,0,1,1.4564828872680664
../LTL-Synth/collector_v3_5.tlsf,hybrid,1,0,1,1.4668338298797607
../LTL-Synth/collector_v4_2.tlsf,linear,1,0,2,0.6146140098571777
../LTL-Synth/collector_v4_2.tlsf,linear,2,0,2,0.6421298980712891
